d_t_1                                             d_t_2                                             d_beam_w                                          d_max                                             Frequency (Hz)                                    Quality factor                                    abs(solid.Qted) (W)
2                                                 4.999999999999973                                 2                                                 9999.999999999813                                 291931.55788418034+8.10921698791395i              17999.984358495232                                1.452003417574532E-14
2                                                 4.999999999999973                                 2                                                 9999.999999999813                                 437965.83047958446+12.164981238482376i            18001.0894342402                                  4.1524947833994265E-14
2                                                 4.999999999999973                                 2                                                 9999.999999999813                                 584082.935543153+16.24014420492002i               17982.689321385846                                8.964040235974726E-14
2                                                 5.0000000000000915                                3.000000000000023                                 19999.99999999997                                 146934.9634763331+4.081312002684573i              18000.947168420975                                2.8432691747871483E-15
2                                                 5.0000000000000915                                3.000000000000023                                 19999.99999999997                                 293892.20670157444+8.16385507459612i              17999.59725008455                                 1.516380580448082E-14
2                                                 5.0000000000000915                                3.000000000000023                                 19999.99999999997                                 440913.5337166693+12.246536365212304i             18001.56062775203                                 4.2658767721923046E-14
2                                                 5.0000000000000915                                3.000000000000023                                 19999.99999999997                                 588029.2355966935+16.39167039074493i              17936.830767677857                                9.169324773791455E-14
2                                                 4.999999999999866                                 2.9999999999999356                                14999.99999999967                                 146381.38722873185+4.066395886183726i             17998.91000850189                                 2.7384824616161964E-15
2                                                 4.999999999999866                                 2.9999999999999356                                14999.99999999967                                 292796.2769027257+8.133368887885135i              17999.69243610968                                 1.4774244715300796E-14
2                                                 4.999999999999866                                 2.9999999999999356                                14999.99999999967                                 439267.5124328027+12.20160076644993i              18000.405063269212                                4.182232122452213E-14
2                                                 4.999999999999866                                 2.9999999999999356                                14999.99999999967                                 585824.8753639732+16.268640673376115i             18004.72722723152                                 8.999973914908609E-14
2                                                 5.000000000000156                                 3.0000000000000884                                10000.00000000055                                 145894.31171260236+4.052548357394214i             18000.31718886479                                 2.5361841039175907E-15
2                                                 5.000000000000156                                 3.0000000000000884                                10000.00000000055                                 291809.3506164993+8.10505848107448i               18001.680758869134                                1.4003551910539606E-14
2                                                 5.000000000000156                                 3.0000000000000884                                10000.00000000055                                 437780.9715167738+12.162607800847914i             17997.002726927305                                4.01907725681506E-14
2                                                 5.000000000000156                                 3.0000000000000884                                10000.00000000055                                 583835.5977694598+16.237295282583304i             17978.228134943874                                8.701885044581362E-14
2                                                 4.9999999999997975                                4.9999999999997975                                19999.99999999997                                 146881.75762822782+4.080027693973813i             18000.09321568751                                 2.8254983666098755E-15
2                                                 4.9999999999997975                                4.9999999999997975                                19999.99999999997                                 293794.29410868476+8.164827593433513i             17991.45730553766                                 1.5123592808402914E-14
2                                                 4.9999999999997975                                4.9999999999997975                                19999.99999999997                                 440768.62165839283+12.235221854340397i            18012.28563346466                                 4.2669223535647426E-14
2                                                 4.9999999999997975                                4.9999999999997975                                19999.99999999997                                 587835.9186000148+16.380656334496017i             17942.99039660837                                 8.573870325158865E-14
2                                                 5.000000000000097                                 5.000000000000097                                 15000.000000000093                                146338.4428687387+4.064957257425112i              17999.997736931724                                2.7202838654036674E-15
2                                                 5.000000000000097                                 5.000000000000097                                 15000.000000000093                                292703.07513580396+8.129899349294666i             18001.64199826165                                 1.4740350231080415E-14
2                                                 5.000000000000097                                 5.000000000000097                                 15000.000000000093                                439125.6861885181+12.207138734393583i             17986.429733582096                                4.183955049951563E-14
2                                                 5.000000000000097                                 5.000000000000097                                 15000.000000000093                                585634.379722592+16.39477342952828i               17860.39868863937                                 8.448704127112663E-14
2                                                 5.000000000000399                                 5.000000000000399                                 9999.999999999853                                 145841.81603921604+4.051230477686585i             17999.693777296063                                2.517766588915639E-15
2                                                 5.000000000000399                                 5.000000000000399                                 9999.999999999853                                 291711.31447693135+8.102974405382138i             18000.26137828773                                 1.3967458062095331E-14
2                                                 5.000000000000399                                 5.000000000000399                                 9999.999999999853                                 437635.9922096021+12.158091059543176i             17997.726372761637                                4.019601949423581E-14
2                                                 5.000000000000399                                 5.000000000000399                                 9999.999999999853                                 583643.30578608+16.322667647187046i               17878.30636515609                                 8.21129769639142E-14
2.9999999999999893                                2                                                 2                                                 19999.999999999894                                147004.3386426223+4.083621040471169i              17999.26305424986                                 2.9757626074416874E-15
2.9999999999999893                                2                                                 2                                                 19999.999999999894                                294042.0664225623+8.167714565322433i              18000.26580697223                                 1.5744874176487724E-14
2.9999999999999893                                2                                                 2                                                 19999.999999999894                                441140.7730808314+12.257501330548303i             17994.726705899462                                4.4056224552909606E-14
2.9999999999999893                                2                                                 2                                                 19999.999999999894                                588332.7894486935+15.611322681438361i             18843.143577712846                                5.1489715360269315E-14
3.000000000000045                                 2                                                 2                                                 14999.999999999984                                146463.18160297495+4.068361917393911i             18000.26455079961                                 2.8642128612096412E-15
3.000000000000045                                 2                                                 2                                                 14999.999999999984                                292951.54619500606+8.137770030607292i             17999.49771824368                                 1.5351396881939115E-14
3.000000000000045                                 2                                                 2                                                 14999.999999999984                                439498.27179473534+12.21156670645762i             17995.163207122354                                4.3253776619680054E-14
3.000000000000045                                 2                                                 2                                                 14999.999999999984                                586133.6569797582+14.742540446236005i             19878.990975717697                                5.018830911004546E-14
3.0000000000000417                                2                                                 2                                                 10000.000000000126                                145965.8454025525+4.054757037267431i              17999.333136482703                                2.6466536460436344E-15
3.0000000000000417                                2                                                 2                                                 10000.000000000126                                291959.93868942873+8.110133577630902i             17999.699751845248                                1.4526858839388784E-14
3.0000000000000417                                2                                                 2                                                 10000.000000000126                                438008.8828254993+12.166049487743406i             18001.27819908805                                 4.1542167533400506E-14
3.0000000000000417                                2                                                 2                                                 10000.000000000126                                584140.3896505479+16.170328783906847i             18062.106140720927                                8.967457072611778E-14
3.0000000000000013                                2                                                 3.0000000000000013                                20000.00000000031                                 146937.4016623289+4.081570159060652i              18000.107303820725                                2.844827870734307E-15
