,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),Pretension (Pa),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
33,133.3025555850976,130.6103957656718,154.6990180964964,44.66200398307828,8.512358266018566,276.9917071027453,30.568074405621207,884360522.4604086,2305401.631354273,308623.66381359723,5.14892681668426e-15,1.0175372326261078e-27,1.8231102982619139e-13,4611827.648659414,308113.5323183961,5.1491241411088185e-15,2.0389748784745334e-27,5.170800160024279e-13,6920302.182448619,307271.4817407816,5.149136938415536e-15,3.0679866305789877e-27,1.001862580751315e-12,9231852.571176613,305981.2341828526,5.148703056286358e-15,4.1096811692664935e-27,1.634183272061822e-12
34,175.81531977467233,827.0747605265738,160.40042891430917,33.9682257919715,73.21037593180255,143.6296445503402,2.424242654116571,0.0,766730.6892795527,34985.00002458514,3.8849433676350926e-14,1.1136485134334473e-25,9.508085413781942e-12,1583256.9349254167,34976.620728396,3.942435572233064e-14,2.3342138263140537e-25,2.1921525577691445e-11,2492679.049328495,34958.25932531012,3.984505324161586e-14,3.7161518891854186e-25,2.792094404014054e-11,3528230.504384141,34927.671112242584,3.9932194521786873e-14,5.276099543498506e-25,3.1967513919736694e-11
35,49.84159114605892,704.7097732806493,209.0589924310781,34.62502416609122,59.45984265410449,252.59123236730463,31.61816869693169,349876017.486685,5177027.473769749,870806.4166668205,1.1219270365775466e-14,8.816712840605638e-26,5.415536315779752e-12,11246013.695543922,673772.3284299488,1.1702768652138552e-14,2.5820062551619847e-25,6.8614950444644885e-12,18798464.430536576,510601.8655599147,1.1822868989100807e-14,5.753685082289904e-25,7.842935182760018e-12,28130619.64995774,396575.709784875,1.1793905493297208e-14,1.1058445066616103e-24,8.510051788508006e-12
36,47.64324326850696,554.0198945021237,110.33946962940088,13.301450198237536,0.1209370814806767,560.8239669545985,15.406340252354468,0.0,3721073.377408324,55081453.181536645,4.188634486329256e-15,8.325981288331785e-31,4.896764238339504e-12,8412202.763624799,54765149.27385322,4.440818234883971e-15,2.0070979889754023e-30,7.581301340715154e-12,14605808.505228782,54221825.92908226,4.4749327665839986e-15,3.5468114382699646e-30,8.358343555401993e-12,22503667.058966022,53474252.33516216,4.459160010325149e-15,5.5215594326655345e-30,8.851930789215591e-12
37,481.280563538299,311.9021227939534,153.28950225162566,17.9119785311669,7.387593104058682,216.3056435348929,6.619410176463725,548690313.5437754,518876.782924562,2085903.820983608,3.8833590041475335e-14,1.7014809679024265e-29,4.942764271619457e-13,1037920.8599340909,2084088.2356719775,3.883469936299439e-14,3.406572849871372e-29,1.3987762062185529e-12,1557300.3389871947,2081081.2166124948,3.8834523391257815e-14,5.11859682907601e-29,2.701660410077595e-12,2077183.5149385084,2075273.3533176351,3.8835090022729994e-14,6.846576558348199e-29,4.386182981368898e-12
38,1151.604876219946,930.2900965304156,101.96992807553988,39.90814597992487,0.0426729750270519,507.4795998002506,10.72132689740991,305740237.0909205,192967.5273599191,33423992.30222079,2.2335806859962101e-13,2.2914836360178298e-33,1.8011713230724152e-14,386044.004514529,33412640.99222461,2.2337593674633426e-13,4.5861853184349946e-33,1.0328357059626015e-13,579336.653535168,33369571.17607771,2.2337720333629813e-13,6.891415498915467e-33,3.028207945163012e-13,772954.064179048,17047547.885021165,2.233602049537089e-13,1.799644696046882e-32,6.644692742576723e-13
39,711.6968363791684,694.4449758941133,148.93572738186165,48.024712271351056,42.62647737843021,213.3227571486437,14.307637748883034,0.0,194288.01759940403,11898.201737493113,1.4280126904636884e-13,1.0837507320078922e-26,1.2260854681728084e-12,389006.7267065111,11898.29344661325,1.4281240211317234e-13,2.170056331793737e-26,3.5596984893744775e-12,584583.3953771018,11898.338490068558,1.4284806237188708e-13,3.261873823779804e-26,6.945132571667832e-12,781444.9534573246,11898.288239345578,1.4287060656645497e-13,4.3610336919616e-26,1.1342504234479435e-11
40,607.8088932453549,517.2753078948988,94.5961396206073,46.78050065916052,8.651395784070608,109.55002178466984,0.0,299818855.6788675,367183.4700102733,112000.73846923732,6.48292607957449e-14,2.748708334972732e-28,6.570375203765129e-13,734585.0090071113,111931.1047139699,6.483494324149449e-14,5.5029524514233475e-28,1.8803344962866534e-12,1102421.6250443915,111814.77956452536,6.48341824293903e-14,8.266999371268798e-28,3.670996531185782e-12,1470911.6333470254,111504.50693668086,6.483028077055467e-14,1.1060313008771906e-27,6.037059926286898e-12
41,309.55784254762125,338.23158025609536,84.13596222093791,33.97361295161328,68.57536293145985,590.2164992406448,39.42209616843852,373159863.1488792,721699.9827640121,18678.08873800155,1.813297333046077e-14,2.7689878485519545e-26,6.368635450459895e-13,1444128.7683737162,18645.16343783205,1.8135363405587023e-14,5.55128793745875e-26,1.833262653391754e-12,2168014.793080196,18590.56158458984,1.81337135682519e-14,8.357651351417194e-26,3.5638519154559985e-12,2894086.659189024,18514.454822346503,1.813731815171132e-14,1.1204731156752076e-25,5.796184700307886e-12
43,19.991307882533096,308.16481040895525,153.27352257702063,20.638204688640435,0.2274054961886547,219.8640348719679,4.206263875778833,571012688.2895548,15322711.249267364,26349717.41787503,1.4222284803973521e-15,2.598907618851572e-29,1.789791541887488e-12,32868807.461414818,21907993.9891506,1.474271857166077e-15,6.950574858718176e-29,2.3042997248181883e-12,54201353.1729435,18327880.41310189,1.4896835889745709e-15,1.384374960919141e-28,2.669891349522826e-12,80173047.26888567,15896327.577723874,1.4856945423082834e-15,2.3546313969927893e-28,2.9272713588703386e-12
